Temps;Vitesse du véhicule;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-1B-00
sec;km/h;A
40,796;43,4;18,60
40,844;43,3;18,60
40,903;43,3;15,85
40,951;43,1;15,85
41,002;43,1;14,10
41,049;43,1;14,10
41,103;43,1;13,10
41,150;42,9;13,10
41,203;42,9;12,10
41,251;42,8;12,10
41,301;42,8;10,60
41,334;42,8;10,60
41,377;42,8;9,10
41,423;42,7;9,10
41,471;42,7;7,60
41,519;42,6;7,60
41,571;42,6;6,85
41,619;42,5;6,85
41,671;42,5;5,85
41,703;42,4;5,85
41,751;42,4;5,35
41,803;42,4;5,35
41,851;42,4;4,85
41,903;42,3;4,85
41,950;42,3;4,35
42,003;42,2;4,35
42,051;42,2;3,60
42,104;42,2;3,60
42,156;42,2;2,60
42,204;42,1;2,60
42,252;42,1;0,10
42,304;42,1;0,10
42,352;42,1;-0,40
42,404;42,0;-0,40
42,452;42,0;-0,65
42,504;42,0;-0,65
42,552;42,0;-0,65
42,604;42,0;-0,65
42,651;42,0;-0,40
42,704;42,0;-0,40
42,751;42,0;0,10
42,805;42,0;0,10
42,853;42,0;-0,15
42,904;41,9;-0,15
42,951;41,9;0,10
43,005;41,9;0,10
43,052;41,9;0,10
43,106;41,9;0,10
43,156;41,9;-0,15
43,204;41,9;-0,15
43,253;41,9;-0,15
43,304;41,9;-0,15
43,353;41,9;0,10
43,404;41,8;0,10
43,451;41,8;0,85
43,516;41,8;0,85
43,573;41,8;1,85
43,620;41,7;1,85
43,673;41,7;3,10
43,720;41,7;3,10
43,773;41,7;3,60
43,822;41,7;3,60
43,873;41,7;1,85
43,921;41,5;1,85
43,973;41,5;4,10
44,021;41,6;4,10
44,074;41,6;4,35
44,122;41,5;4,35
44,174;41,5;3,35
44,235;41,5;3,35
44,274;41,5;1,60
44,322;41,3;1,60
44,374;41,3;2,35
44,422;41,2;2,35
44,474;41,2;1,85
44,521;41,3;1,85
44,576;41,3;-0,40
44,623;41,3;-0,40
44,675;41,3;-1,40
44,722;41,3;-1,40
44,775;41,3;-1,90
44,823;41,2;-1,90
44,883;41,2;-2,90
44,930;41,2;-2,90
44,975;41,2;-5,40
45,025;41,1;-5,40
45,076;41,1;-4,65
45,124;41,0;-4,65
45,179;41,0;-3,15
45,230;41,0;-3,15
45,276;41,0;-2,40
45,324;41,0;-2,40
45,376;41,0;-5,15
45,423;41,0;-5,15
45,477;41,0;-8,40
45,526;41,0;-8,40
45,577;41,0;-8,65
45,625;41,0;-8,65
45,677;41,0;-7,90
45,724;40,9;-7,90
45,778;40,9;-5,65
45,825;40,9;-5,65
45,878;40,9;-7,90
45,925;41,0;-7,90
45,978;41,0;-10,90
46,026;41,1;-10,90
46,078;41,1;-13,40
46,126;41,0;-13,40
46,162;41,0;-13,65
46,210;41,0;-13,65
46,257;41,0;-13,65
46,311;41,1;-13,65
46,358;41,1;-13,65
46,410;41,1;-13,65
46,457;41,1;-14,40
46,511;41,1;-14,40
46,558;41,1;-14,90
46,613;41,2;-14,90
46,661;41,2;-14,65
46,712;41,3;-14,65
46,760;41,3;-15,40
46,811;41,3;-15,40
46,859;41,3;-16,15
46,911;41,4;-16,15
46,958;41,4;-17,65
47,011;41,4;-17,65
47,058;41,4;-18,40
47,113;41,4;-18,40
47,161;41,4;-19,15
47,213;41,4;-19,15
47,260;41,4;-19,40
47,311;41,5;-19,40
47,358;41,5;-19,40
47,411;41,6;-19,40
47,459;41,6;-19,65
47,513;41,6;-19,65
47,560;41,6;-19,65
47,606;41,6;-19,65
47,653;41,6;-19,90
47,714;41,7;-19,90
47,761;41,7;-19,65
47,813;41,8;-19,65
47,860;41,8;-19,90
47,911;41,8;-19,90
47,959;41,8;-19,90
48,012;41,9;-19,90
48,060;41,9;-21,15
48,112;42,0;-21,15
48,161;42,0;-20,65
48,211;42,0;-20,65
48,262;42,0;-21,65
48,311;42,0;-21,65
48,359;42,0;-24,15
48,411;42,1;-24,15
48,458;42,1;-27,40
48,512;42,1;-27,40
48,561;42,1;-27,40
48,612;42,1;-27,40
48,659;42,1;-25,90
48,712;42,3;-25,90
48,759;42,3;-27,15
48,812;42,4;-27,15
48,859;42,4;-26,40
48,912;42,5;-26,40
48,965;42,5;-22,40
49,013;42,5;-22,40
49,061;42,5;-20,90
49,113;42,6;-20,90
49,163;42,6;-17,65
49,213;42,6;-17,65
49,261;42,6;-15,65
49,313;42,6;-15,65
49,362;42,6;-14,40
49,413;42,6;-14,40
49,459;42,6;-12,65
49,513;42,6;-12,65
49,561;42,6;-11,15
49,614;42,5;-11,15
49,661;42,5;-9,65
49,714;42,5;-9,65
49,761;42,5;-8,90
49,813;42,4;-8,90
49,861;42,4;-9,90
49,914;42,4;-9,90
49,961;42,4;-10,90
50,015;42,4;-10,90
50,062;42,4;-11,40
50,114;42,3;-11,40
50,163;42,3;-11,90
50,215;42,3;-11,90
50,261;42,3;-12,15
50,315;42,3;-12,15
50,383;42,3;-12,40
50,431;42,2;-12,40
50,483;42,2;-12,90
50,532;42,2;-12,90
50,589;42,2;-13,40
50,637;42,2;-13,40
50,684;42,2;-14,40
50,731;42,1;-14,40
50,784;42,1;-15,15
50,832;42,2;-15,15
50,884;42,2;-16,90
50,932;42,2;-16,90
50,985;42,2;-18,90
51,031;42,3;-18,90
51,085;42,3;-19,90
51,133;42,2;-19,90
51,186;42,2;-20,65
51,233;42,3;-20,65
51,285;42,3;-20,90
51,333;42,3;-20,90
51,386;42,3;-21,15
51,433;42,3;-21,15
51,486;42,3;-21,15
51,535;42,4;-21,15
51,586;42,4;-21,40
51,633;42,4;-21,40
51,691;42,4;-21,40
51,739;42,4;-21,40
51,786;42,4;-21,65
51,834;42,4;-21,65
51,886;42,4;-21,15
51,933;42,4;-21,15
51,987;42,4;-22,65
52,034;42,5;-22,65
52,087;42,5;-23,65
52,135;42,5;-23,65
52,187;42,5;-24,65
52,234;42,6;-24,65
52,287;42,6;-26,40
52,334;42,7;-26,40
52,387;42,7;-27,40
52,436;42,7;-27,40
52,488;42,7;-28,15
52,535;42,7;-28,15
52,588;42,7;-29,15
52,636;42,8;-29,15
52,688;42,8;-30,65
52,736;42,8;-30,65
52,788;42,8;-31,90
52,835;43,0;-31,90
52,888;43,0;-32,65
52,936;43,1;-32,65
52,989;43,1;-32,90
53,036;43,2;-32,90
53,089;43,2;-34,15
53,136;43,2;-34,15
53,189;43,2;-31,40
53,236;43,2;-31,40
53,289;43,2;-31,15
53,337;43,2;-31,15
53,406;43,2;-27,90
53,453;43,4;-27,90
53,506;43,4;-27,40
53,554;43,5;-27,40
53,606;43,5;-28,65
53,653;43,4;-28,65
53,705;43,4;-27,90
53,753;43,4;-27,90
53,806;43,4;-26,15
